資料日期,發行人/總代理人身分別,境外結構型商品名稱,所屬發行機構,所屬保證機構
20221122,銀行業,法商東方匯理銀行台北分行,Credit Agricole CIB Finance (Guernsey) Limited,Credit Agricole Corporate and Investment Bank
20221122,銀行業,法商東方匯理銀行台北分行,Credit Agricole CIB Financial Solutions,Credit Agricole Corporate and Investment Bank
20221122,銀行業,法商法國巴黎銀行股份有限公司台北分公司,BNP Paribas Arbitrage Issuance B.V.,BNP Paribas
20221122,銀行業,法商法國巴黎銀行股份有限公司台北分公司,BNP Paribas Issuance B.V.,BNP Paribas
20221122,銀行業,法商法國興業銀行台北分行,SG ISSUER,Societe Generale
20221122,銀行業,美商摩根大通銀行台北分行,J.P. Morgan Structured Products B.V.,JPMorgan Chase Bank N.A.
20221122,證券商,台灣摩根士丹利證券股份有限公司,Morgan Stanley & Co. International Plc,Morgan Stanley
20221122,證券商,花旗環球證券股份有限公司,Citigroup Global Markets Holdings Inc,Citigroup Inc.
20221122,證券商,美商高盛亞洲證券有限公司台北分公司,Goldman Sachs Finance Corp International Ltd.,Goldman Sachs (Asia) L.L.C.
20221122,證券商,美商高盛亞洲證券有限公司台北分公司,Goldman Sachs Finance Corp International Ltd.,The Goldman Sachs Group， Inc.
20221122,證券商,美商高盛亞洲證券有限公司台北分公司,Goldman Sachs International,The Goldman Sachs Group， Inc.
20221122,證券商,香港商野村國際證券有限公司台北分公司,Nomura Bank International Plc,Nomura International (Hong Kong) Ltd.
20221122,證券商,香港商野村國際證券有限公司台北分公司,Nomura International Funding Pte. Ltd.,Nomura Holdings， Inc.
